c,p,k,c1,p1,k1
10001489.SH,10001491.SH,2.35,10001411.SH,10001412.SH,2.2
10001490.SH,10001492.SH,2.4,10001383.SH,10001384.SH,2.25
10001471.SH,10001480.SH,2.45,10001377.SH,10001378.SH,2.3
10001472.SH,10001481.SH,2.5,10001369.SH,10001370.SH,2.35
10001473.SH,10001482.SH,2.55,10001359.SH,10001360.SH,2.4
10001474.SH,10001483.SH,2.6,10001331.SH,10001332.SH,2.45
10001475.SH,10001484.SH,2.65,10001313.SH,10001322.SH,2.5
10001476.SH,10001485.SH,2.7,10001314.SH,10001323.SH,2.55
10001477.SH,10001486.SH,2.75,10001315.SH,10001324.SH,2.6
10001478.SH,10001487.SH,2.8,10001316.SH,10001325.SH,2.65
10001479.SH,10001488.SH,2.85,10001317.SH,10001326.SH,2.7
,,,10001318.SH,10001327.SH,2.75
,,,10001319.SH,10001328.SH,2.8
,,,10001320.SH,10001329.SH,2.85
,,,10001321.SH,10001330.SH,2.9
,,,10001333.SH,10001334.SH,2.95
